,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GLD,GME,GOOGL,HYG,JNJ,JPM,MSFT,NVDA,PG,XOM,GS10,GS2
2008-10-02,3.002103328704834,3.368000030517578,27.446821212768555,92.16000366210938,40.042118072509766,,82.33000183105469,6.027719020843506,9.69874095916748,28.667234420776367,40.64815139770508,32.484519958496094,19.039066314697266,0.21385164558887482,42.945037841796875,41.2589111328125,3.81,1.61
2008-10-03,2.9112298488616943,3.3499999046325684,26.020517349243164,93.0,39.951534271240234,,82.58999633789062,5.938507080078125,9.609824180603027,28.56316566467285,39.6707878112793,29.9105167388916,19.08983612060547,0.20697538554668427,42.69254684448242,41.493160247802734,3.81,1.61
2008-10-06,2.943321466445923,3.2614998817443848,24.314998626708984,87.80000305175781,38.67316436767578,,84.27999877929688,5.741568565368652,9.219878196716309,27.525957107543945,38.675418853759766,28.672393798828125,18.067161560058594,0.1799287647008896,41.22577667236328,41.1630859375,3.81,1.61
2008-10-07,2.6740012168884277,2.9260001182556152,17.938161849975586,82.5,36.91667938232422,,87.2699966430664,5.175993919372559,8.593976974487305,27.061115264892578,37.47016906738281,25.62270164489746,16.84866714477539,0.1659470647573471,39.82511901855469,40.497623443603516,3.81,1.61
2008-10-08,2.6928958892822266,3.0510001182556152,16.677885055541992,78.5999984741211,36.79084014892578,,89.41999816894531,5.085097789764404,8.397761344909668,25.930265426635742,37.392234802246094,25.609663009643555,16.689096450805664,0.16938516497612,39.73495101928711,40.99272537231445,3.81,1.61
2008-10-09,2.661404848098755,2.799999952316284,14.81387996673584,77.0999984741211,32.21085739135742,,89.9000015258789,4.8965744972229,8.170995712280273,25.326671600341797,34.52605056762695,23.90235710144043,16.17413902282715,0.15861235558986664,36.597049713134766,36.20137023925781,3.81,1.61
2008-10-10,2.9031333923339844,2.8125,15.749659538269043,75.5999984741211,29.10553550720215,,83.22000122070312,4.898258209228516,8.246002197265625,23.637287139892578,33.48869323730469,27.134519577026367,15.593893051147461,0.15609100461006165,35.80354309082031,33.19879150390625,3.81,1.61
2008-10-13,3.3068125247955322,3.1010000705718994,17.1986026763916,78.9000015258789,35.17527389526367,,81.98999786376953,5.642253875732422,9.463531494140625,26.537311553955078,37.5840950012207,27.36258888244629,18.495088577270508,0.18451295793056488,38.045772552490234,38.905826568603516,3.81,1.61
2008-10-14,3.1214683055877686,2.7929999828338623,20.02101707458496,79.16000366210938,34.4958381652832,,82.19999694824219,5.110347270965576,9.008758544921875,26.71076011657715,38.37558364868164,26.52848243713379,17.47967529296875,0.18038716912269592,38.53268814086914,38.57576370239258,3.81,1.61
2008-10-15,2.9376220703125,2.436000108718872,17.975894927978516,75.91999816894531,30.187623977661133,,83.30999755859375,4.667652130126953,8.424087524414062,25.545196533203125,36.30091857910156,25.08182716369629,16.43524742126465,0.16090445220470428,35.959835052490234,33.19346618652344,3.81,1.61
2008-10-16,3.055788040161133,2.5144999027252197,18.300392150878906,75.30000305175781,31.757892608642578,,79.29000091552734,5.186094284057617,8.768084526062012,24.577363967895508,38.07578659057617,26.385116577148438,17.544954299926758,0.1764906495809555,37.13205337524414,36.97330856323242,3.81,1.61
2008-10-17,2.9211270809173584,2.5325000286102295,17.538192749023438,79.5199966430664,31.380428314208984,,77.20999908447266,5.359468936920166,9.252911567687988,24.28251075744629,37.56611251831055,25.629215240478516,17.356380462646484,0.1753445863723755,37.1140251159668,36.2226676940918,3.81,1.61
2008-10-20,2.952317953109741,2.6484999656677246,18.41359519958496,82.58000183105469,35.034339904785156,,78.5,5.58670711517334,9.421307563781738,24.768157958984375,38.63943099975586,26.49589729309082,17.92936134338379,0.17878271639347076,38.41846466064453,39.92265319824219,3.81,1.61
2008-10-21,2.743880033493042,2.5114998817443848,18.089086532592773,81.19999694824219,33.62009811401367,,76.02999877929688,5.1271796226501465,9.00975227355957,24.62592124938965,38.17171859741211,25.89638900756836,16.942955017089844,0.16503024101257324,37.847381591796875,38.06467056274414,3.81,1.61
2008-10-22,2.9052324295043945,2.499500036239624,17.100492477416992,78.97000122070312,31.07342529296875,,71.70999908447266,4.751815319061279,8.833905220031738,24.421266555786133,36.828575134277344,24.221656799316406,15.615665435791016,0.1588415801525116,35.54848098754883,34.37533187866211,3.81,1.61
2008-10-23,2.9460198879241943,2.5160000324249268,17.357080459594727,77.0,33.6049919128418,,70.6500015258789,4.556558609008789,8.750699996948242,24.834062576293945,37.44618225097656,24.66478157043457,16.18864631652832,0.14990241825580597,36.643489837646484,37.47373580932617,3.81,1.61
2008-10-24,2.8905372619628906,2.447999954223633,15.900592803955078,74.26000213623047,32.16557693481445,,72.20999908447266,4.331003189086914,8.427067756652832,24.2131290435791,36.450828552246094,23.087797164916992,15.927529335021973,0.15150684118270874,35.61503982543945,36.75504684448242,3.81,1.61
2008-10-27,2.761875867843628,2.4790000915527344,15.493083953857422,70.4000015258789,31.058320999145508,,72.18000030517578,4.243473529815674,8.183662414550781,22.98165512084961,36.06705856323242,22.155929565429688,15.361808776855469,0.15975843369960785,34.70756912231445,35.184532165527344,3.81,1.61
2008-10-28,2.9964048862457275,2.802000045776367,17.372167587280273,70.19999694824219,35.24069595336914,,73.79000091552734,4.866275787353516,9.15877628326416,23.241840362548828,38.489524841308594,24.501863479614258,16.75437355041504,0.18382528424263,38.25273513793945,39.85345458984375,3.81,1.61
2008-10-29,3.135563850402832,2.8445000648498535,16.84391212463379,73.9000015258789,35.73393630981445,,74.0,4.953806400299072,8.89177417755127,24.299848556518555,36.89453887939453,23.27025604248047,16.68185043334961,0.18978473544120789,36.897579193115234,39.741641998291016,3.81,1.61
2008-10-30,3.3302054405212402,2.8355000019073486,17.191051483154297,74.5999984741211,37.33440399169922,,72.70999908447266,4.953806400299072,8.933749198913574,24.96588897705078,36.31889343261719,24.514902114868164,16.413482666015625,0.19780698418617249,38.1619873046875,39.954612731933594,3.81,1.61
2008-10-31,3.2267370223999023,2.861999988555908,18.24001693725586,76.80000305175781,37.54579544067383,,71.33999633789062,4.610422611236572,8.925554275512695,24.976299285888672,36.78062057495117,26.8803653717041,16.195899963378906,0.200786754488945,39.045265197753906,39.45950698852539,3.81,1.61
2008-11-01,,,,,,,,,,,,,,,,,3.53,1.21
2008-11-03,3.207841634750366,2.7885000705718994,17.817419052124023,77.19999694824219,37.087791442871094,,71.0999984741211,4.539726734161377,8.605896949768066,25.179447174072266,36.67268371582031,26.541515350341797,16.406234741210938,0.19345210492610931,38.96055221557617,39.550010681152344,3.53,1.21
2008-11-04,3.3287057876586914,2.922499895095825,18.51169776916504,79.0,39.352622985839844,,75.4800033569336,4.671020030975342,9.11382007598877,25.463130950927734,37.11040496826172,27.47988510131836,17.06624412536621,0.20582930743694305,39.97087478637695,41.25360870361328,3.53,1.21
2008-11-05,3.098074436187744,2.5989999771118164,16.413755416870117,77.80000305175781,37.68671417236328,,72.80000305175781,4.255257606506348,8.500340461730957,25.25299835205078,35.887168884277344,25.557533264160156,16.014572143554688,0.19505654275417328,38.6036262512207,39.230567932128906,3.53,1.21
2008-11-06,2.9721121788024902,2.3610000610351562,15.183669090270996,74.0,35.28599166870117,,72.22000122070312,4.007818698883057,8.226630210876465,25.25299835205078,34.72990036010742,24.931943893432617,15.144218444824219,0.174656942486763,38.32533645629883,37.24482345581055,3.53,1.21
2008-11-07,2.946319341659546,2.4605000019073486,15.462886810302734,73.72000122070312,36.97203826904297,,72.5,4.224957466125488,8.22464370727539,25.51568031311035,36.10903549194336,24.599607467651367,15.593893051147461,0.19986990094184875,39.01500701904297,39.59538269042969,3.53,1.21
2008-11-10,2.8755414485931396,2.4230000972747803,14.700687408447266,70.77999877929688,37.41495132446289,,73.58000183105469,4.120595455169678,7.9176530838012695,25.51919174194336,35.98311233520508,23.726408004760742,15.448845863342285,0.1870342195034027,39.293296813964844,39.63283920288086,3.53,1.21
2008-11-11,2.842251777648926,2.315000057220459,14.10451602935791,69.19999694824219,37.01229476928711,,72.05000305175781,3.940488576889038,7.735843658447266,25.473663330078125,35.70728302001953,23.68730354309082,15.376311302185059,0.17878271639347076,38.60966491699219,38.899330139160156,3.53,1.21
2008-11-12,2.702792167663574,2.078000068664551,12.829139709472656,67.19999694824219,33.86166763305664,,70.0,3.709883451461792,7.2276716232299805,25.112876892089844,34.72990036010742,22.527376174926758,14.72353744506836,0.16823916137218475,37.417869567871094,36.907501220703125,3.53,1.21
2008-11-13,2.892336130142212,2.246500015258789,12.904613494873047,68.5,38.10443878173828,,72.1500015258789,4.179510593414307,7.751244068145752,24.97978973388672,37.716007232666016,24.234695434570312,15.412575721740723,0.18199163675308228,39.35379409790039,40.377105712890625,3.53,1.21
2008-11-14,2.7063918113708496,2.0875000953674316,12.391446113586426,67.77999877929688,36.89624786376953,,73.30000305175781,3.9186065196990967,7.700078010559082,24.675071716308594,36.00709915161133,22.46221160888672,14.549468040466309,0.16434258222579956,38.18013000488281,39.45082092285156,3.53,1.21
2008-11-17,2.6434102058410645,1.9845000505447388,11.342472076416016,62.79999923706055,35.93169021606445,,72.6500015258789,3.829394578933716,7.454189300537109,24.293317794799805,35.53940200805664,21.35442352294922,14.012754440307617,0.16090445220470428,37.817142486572266,39.290199279785156,3.53,1.21
2008-11-18,2.6964943408966064,1.9220000505447388,11.46321964263916,62.5,37.26173782348633,,72.51000213623047,3.738499402999878,7.3871283531188965,23.781951904296875,36.51077651977539,20.94388198852539,14.326743125915527,0.15563257038593292,38.869808197021484,40.86972427368164,3.53,1.21
